influencer,image_path,tipo_post,visualizacoes,visualizacoes_fonte,interacoes,interacoes_fonte,dedupe_key,status
Luiza,Luiza/OVERDELIVERY /c1799477-bb5a-440d-81b2-1dc1de3d9c52.jpg,stories,7422,visualizacoes,219,interacoes,Luiza|stories|7422|219,candidate
Luiza,Luiza/OVERDELIVERY /d6bc0644-c615-45b7-91bc-3873664bb1d4.jpg,stories,,,116,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/OVERDELIVERY /e061ac85-16ff-4f63-8eda-5faaba512a0c.jpg,stories,,,204,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/OVERDELIVERY /f1940c36-7854-4f9f-b1be-80a8f7021b1e.jpg,stories,,,137,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/OVERDELIVERY /f23207ce-8328-4b39-a551-fc8b8df5d254.jpg,stories,7474,visualizacoes,108,interacoes,Luiza|stories|7474|108,candidate
Luiza,Luiza/REELS /REELS 1/2eea1398-4907-4a54-a24d-a329d76e2b19.jpg,feed,99122,visualizacoes,4422,interacoes,Luiza|feed|99122|4422,candidate
Luiza,Luiza/REELS /REELS 1/400424e6-a86a-4806-b215-4acc168ddc7d.jpg,feed,66838,contas_alcancadas,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS 1/6d2c8f8b-63a8-4d24-ae1c-848f68e77fcf.jpg,feed,,,4422,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS 1/c14898c7-47dc-4e9c-9cec-81fc4632b666.jpg,feed,,,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS 1/d467636b-f474-4e2d-8b09-5f8cf81e9b1d.jpg,feed,,,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS 1/e84c19fd-8fa6-4176-9dac-a536f2efb16f.jpg,feed,46,visualizacoes,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 1/18c13323-9c73-442e-a237-cc12e054548b.jpg,feed,,,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 1/1d1492e7-351e-4418-8692-f1c531b7c7e6.jpg,feed,38,visualizacoes,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 1/2807b51a-cc1a-4901-9b33-6a9c7a11e2a0.jpg,feed,,,12315,soma_componentes,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 1/4715c33b-0f50-45a1-aff5-42f261e8988d.jpg,feed,114575,contas_alcancadas,,,,ignored_missing_metrics
Luiza,Luiza/REELS /REELS OVERDELIVERY 1/739deb32-0dfc-4b4d-b8fd-dff69495c1d2.jpg,feed,192844,visualizacoes,12072,interacoes,Luiza|feed|192844|12072,candidate
Luiza,Luiza/REELS /REELS OVERDELIVERY 1/e8399e8a-2fa0-43c9-a7dd-2bd99dc8f1ed.jpg,feed,,,,,,ignored_missing_metrics
